,Song,Spotify Link,Song Image
0,Prisoner of Love - Remastered - 1992,https://open.spotify.com/track/6doXi6MzsJzr7t9wUljqeP,https://i.scdn.co/image/ab67616d00001e022027745ea676490e7d3376ed
1,To Each His Own,https://open.spotify.com/track/4xRdYnoXKNDPPrEicGPGCe,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
2,The Gypsy,https://open.spotify.com/track/4kuoSXnEyTKWypYkvjjnwd,https://i.scdn.co/image/ab67616d00001e02383811a9b3081023c612fb7b
3,Five Minutes More,https://open.spotify.com/track/08jcVB28seFgQ5WrQiLKZQ,https://i.scdn.co/image/ab67616d00001e02fedb75caa2d5ee8b3339a97d
4,Rumors Are Flying,https://open.spotify.com/track/7AoGplARvZSMmwYrsWjSfy,https://i.scdn.co/image/4667b766fefbef86aad582c8315aed3e9da52e73
5,Oh! What It Seemed to Be,https://open.spotify.com/track/584qaYkg1VK6TGWBOtJIEB,https://i.scdn.co/image/ab67616d00001e027f0ea530d97606feff26fd46
6,Personality,https://open.spotify.com/track/2qkqnpWaSM6zWqDpQWaFEL,https://i.scdn.co/image/ab67616d00001e023b0618f6afaec59d127006e9
7,"South America, Take It Away - Single Version",https://open.spotify.com/track/5Z7MNRwfaVL1tEKsc6G7EQ,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
8,The Gypsy - 78rpm Version,https://open.spotify.com/track/5WDlMTRBAcI91qJeOIqWEG,https://i.scdn.co/image/ab67616d00001e021a89a13ef98d3eb2dc5c7e9a
9,"Oh, What It Seemed To Be",https://open.spotify.com/track/5iX7Vgzd7aHIq0Y0wvFOvK,https://i.scdn.co/image/ab67616d00001e02809774b4973b24ef06fc07ca
10,Surrender,https://open.spotify.com/track/54ASUXVZNSUruVQ42N1QDJ,https://i.scdn.co/image/ab67616d00001e02c143b8172ccb7ac602cffec5
11,"Doctor, Lawyer, Indian Chief",https://open.spotify.com/track/61d3zbeymdgxsnXw5hFvMy,https://i.scdn.co/image/ab67616d00001e02410be1056698ccd868d06093
12,"Let It Snow, Let It Snow, Let It Snow",https://open.spotify.com/track/0RYbdAzWT0MBJzdr4vZJQB,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997
13,To Each His Own,https://open.spotify.com/track/5QEyScOgUFntL9U8k0HLzb,https://i.scdn.co/image/ab67616d00001e02a4517a28cefc1e89cbc86928
14,Ole Buttermilk Sky,https://open.spotify.com/track/1M2NFzR0gAeDt8yIHuqlaQ,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a
15,To Each His Own,https://open.spotify.com/track/1xaWXoK9hKH3Op9VDCgqZT,https://i.scdn.co/image/ab67616d00001e02383811a9b3081023c612fb7b
16,Symphony,https://open.spotify.com/track/0CfT2uI4ArHMjmzzlWDqwj,https://i.scdn.co/image/ab67616d00001e0291398be3f9d70153592918d7
17,The Old Lamplighter,https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv,https://i.scdn.co/image/ab67616d00001e02c51489c694f3e41a145630f6
18,I Can't Begin To Tell You - Single Version,https://open.spotify.com/track/22b0w2VmAj51WGEL5H8PQp,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
19,You're A Big Girl Now,https://open.spotify.com/track/5C7WGqaFxmYsWi0OpV6blr,https://i.scdn.co/image/ab67616d00001e028e9d7cbb79d2ee41f3641462
20,"Jocelyn, Op. 100: Berceuse (Arr. For vocal, violin and orchestra)",https://open.spotify.com/track/6z9h9WJTjcn4i3co2GPbf7,https://i.scdn.co/image/ab67616d00001e02948d6a4c7918669e960054f8
21,The Gypsy,https://open.spotify.com/track/3NVCNIbDqfXJwu8Zz0cvVo,https://i.scdn.co/image/ab67616d00001e027e4e29b588ac8368858ae62a
22,Doin' What Comes Natur'lly,https://open.spotify.com/track/16ICxWXaJaahCcNcWnsgGv,https://i.scdn.co/image/ab67616d00001e02207235766c4f06b08449e5f6
23,Laughing on the Outside (Crying on the Inside),https://open.spotify.com/track/2RG22MnkRzrPNAyc0eFn8w,https://i.scdn.co/image/ab67616d00001e02642daf2a1868773492e7c67f
24,Five More Minutes,https://open.spotify.com/track/3qTmB5HxP9ilJaiM6B1yuk,https://i.scdn.co/image/ab67616d00001e02bc4ab4b3286e4278af03624e
25,Laughing On The Outside (Crying On The Inside) - Remastered,https://open.spotify.com/track/7qvklHIQLAAkbKz0gFlzL3,https://i.scdn.co/image/ab67616d00001e026641e96fcde1e88bb39d5219
26,Chattanooga Choo Choo,https://open.spotify.com/track/7a5VuzvBrtbqYT7kNlQlFd,https://i.scdn.co/image/ab67616d00001e020cc5eb834d42e68068a11e93
27,They Say It's Wonderful - Remastered,https://open.spotify.com/track/45OeXfszJZiOzSDfyvn3I3,https://i.scdn.co/image/ab67616d00001e022027745ea676490e7d3376ed
28,To Each His Own,https://open.spotify.com/track/04WFpAODvh9f8QCxbPgoUX,https://i.scdn.co/image/ab67616d00001e0282f9464ece2e4baf47d483a8
29,You Won't Be Satisfied Until You Break My Heart,https://open.spotify.com/track/6X2cCXy59I0CtoxQ4G501j,https://i.scdn.co/image/ab67616d00001e02c5d75e9dadb2cfe8ecbfdd1e
30,Symphony,https://open.spotify.com/track/2VrUcxWYViR8y0YfMPAZ1u,https://i.scdn.co/image/ab67616d00001e02207235766c4f06b08449e5f6
31,Oh What It Seemed To Be,https://open.spotify.com/track/7k3GfnMsOgzU9sygbZMeF3,https://i.scdn.co/image/ab67616d00001e022b53bb18acb9df2a26390aa1
32,Doin' What Comes Natur'lly,https://open.spotify.com/track/1lIhotwK8MRH2STLkbYPc4,https://i.scdn.co/image/ab67616d00001e021dd41072d5378d3ec0cef610
33,The Old Lamp-Lighter,https://open.spotify.com/track/0sJqdV5n24uO4AdeQsY7k7,https://i.scdn.co/image/ab67616d00001e02fa9fab792e87b717952b001a
34,If I Loved You,https://open.spotify.com/track/1938FeAi8kI7w9TpbgQWgP,https://i.scdn.co/image/ab67616d00001e028e71eb4be67203cf16342418
35,Boogie Woogie Bugle Boy,https://open.spotify.com/track/3axPhcbhVDOA9MnhkUrFcE,https://i.scdn.co/image/ab67616d00001e0255e73f203a199dcad9c42d69
36,(A Hubba-Hubba-Hubba) Dig You Later,https://open.spotify.com/track/4xc6ja6BCitKPuRZj8NMva,https://i.scdn.co/image/ab67616d00001e02c6a9dee8af5800ca98c6971a
37,Symphony,https://open.spotify.com/track/1EKV7dUjjJQW0n5jF6S8gK,https://i.scdn.co/image/ab67616d00001e02083d57838e1cdc0c7f7ad903
38,To Each His Own,https://open.spotify.com/track/3FOtABYcehdbEpaLi9KEJd,https://i.scdn.co/image/ab67616d00001e0208b381044f83825b528c6e3b
39,Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,https://open.spotify.com/track/4zenavau6aK3yvLwTNB04X,https://i.scdn.co/image/ab67616d00001e02f9ac670874ec5fe683f8e1ba
40,(I Love You) For Sentimental Reasons,https://open.spotify.com/track/5pwrRrUj38H0Ouj68n34JS,https://i.scdn.co/image/ab67616d00001e02fdd261528e3590ac36bb85f0
41,Near You,https://open.spotify.com/track/0i7GVS1YRgSOvqNz1Ganhl,https://i.scdn.co/image/ab67616d00001e02c59ba11d88f81c81cb70a740
42,"Peg O' My Heart - Live On The Ed Sullivan Show, February 26, 1950",https://open.spotify.com/track/3tIHxflVpnVZEl4lwmX9JQ,https://i.scdn.co/image/ab67616d00001e02964700c148fac2a395f93a88
43,Heartaches - Remastered,https://open.spotify.com/track/2YIWbp45LbCno7LmRUjH8Z,https://i.scdn.co/image/ab67616d00001e027b4d8ba09ac3f8418cfb86e6
44,Linda,https://open.spotify.com/track/6zE2xJvFmHEPECsvLki2CE,https://i.scdn.co/image/ab67616d00001e028cff60f4f7347d871f78be2f
45,Smoke! Smoke! Smoke! (That Cigarette),https://open.spotify.com/track/05HBDnASISMJN46VxzDafK,https://i.scdn.co/image/ab67616d00001e0232d29391915dc8f80945a4d5
46,I Wish I Didn't Love You So,https://open.spotify.com/track/7Fdyd5D5BwqRKUQFT34LrE,https://i.scdn.co/image/ab67616d00001e02dcae4144a7683b7c5139c33c
47,Peg O' My Heart,https://open.spotify.com/track/6H1BaNZyIv0pWoLkx8omDd,https://i.scdn.co/image/ab67616d00001e024f68cee08ac9874a30462135
48,The Anniversary Song,https://open.spotify.com/track/33eRMKAGr7DmEkbmquiJYK,https://i.scdn.co/image/ab67616d00001e0242e01946e25b48ddf9962b59
49,Stand Up and Shout About Love,https://open.spotify.com/track/7eYCfWI5g5QHfCZ27gny1E,https://i.scdn.co/image/ab67616d00001e023cba7377b2129f0f8758796f
50,That's My Desire,https://open.spotify.com/track/0z8G4SgXaqwFx3sfMwlmur,https://i.scdn.co/image/ab67616d00001e02e3d9af3427d5fff75cc97cb0
51,Dance Ballerina Dance,https://open.spotify.com/track/4Yuug0cnC1XHjAyLe11yUq,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997
52,"Managua, Nicaragua",https://open.spotify.com/track/2oGCMCYEGI6BB9ruLT4caq,https://i.scdn.co/image/ab67616d00001e0291398be3f9d70153592918d7
53,Mam'selle,https://open.spotify.com/track/7rBL12epoBB1HSSVIzNa7y,https://i.scdn.co/image/ab67616d00001e02131518ca8c4d0ef16fec367c
54,"Chi-Baba, Chi-Baba (My Bambino Go To Sleep)",https://open.spotify.com/track/2MxFk746e4LJmVUHm8OqDc,https://i.scdn.co/image/ab67616d00001e028996ed54d0409f7393ed9c3a
55,Temptation (Tim-Tayshun),https://open.spotify.com/track/1MBtVG9uZ2ODiJanIqJi1i,https://i.scdn.co/image/ab67616d00001e0278541856ab0a9f05ae6d83c6
56,I Wonder Who's Kissing Her Now,https://open.spotify.com/track/4clwLmEGMgZJqe701XUwYb,https://i.scdn.co/image/ab67616d00001e0246e7ad3642411639ef97b0eb
57,Near You,https://open.spotify.com/track/2xCSpamWdYWIYCCsHLnTTS,https://i.scdn.co/image/ab67616d00001e025dce3390d208e9ad03c3632d
58,The Old Lamplighter,https://open.spotify.com/track/3gAUzbcHBs9f4oGg82YHXv,https://i.scdn.co/image/ab67616d00001e02c51489c694f3e41a145630f6
59,When You Were Sweet Sixteen,https://open.spotify.com/track/4oyVWxLpGes0rzpPyeGmFK,https://i.scdn.co/image/ab67616d00001e028996ed54d0409f7393ed9c3a
60,Life's Song,https://open.spotify.com/track/1PChEFN80bedWzx9AzgKJl,https://i.scdn.co/image/ab67616d00001e020e8fae844ccafdf50ea9c532
61,Too Fat To Fly,https://open.spotify.com/track/54JQWhbv1i6OcIci1sABh6,https://i.scdn.co/image/ab67616d00001e0292a0bd0a8d499f158c0a33a6
62,"I Wonder, I Wonder, I Wonder",https://open.spotify.com/track/7vTpQ52Y6Pgu5E7YAhe7Wj,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
63,My Adobe Hacienda,https://open.spotify.com/track/5R4okhfleSI3jbqOJfarc1,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
