,Song,Tags
0,Prisoner of Love - Remastered - 1992,"today&yesterday perrycomo adultstandards,easylisten"
1,To Each His Own,thebestofthemercuryyear eddyhoward britishdanceband
2,The Gypsy,"theantholog theinkspot vocalharmonygroup,loung"
3,Five Minutes More,"thecolumbiayears(1943-1952):thecompleterecordings:volume4 franksinatra adultstandards,lounge,easylisten"
4,Rumors Are Flying,"1946broadcast frankiecarl spaceagepop,honky-tonkpiano"
5,Oh! What It Seemed to Be,"12double-barreledhitsof64 frankiecarle,hispiano&orchestra bigband,""mansorchestra"""
6,Personality,"accentuatethepositive! johnnymercer,thepiedpip vocalharmonygroup,swing,tinpanalley,bigband"
7,"South America, Take It Away - Single Version","bing-hislegendaryyears1931-1957 bingcrosby,theandrewssisters,vicschoen&hisorchestra torchsong,vocalharmonygroup,adultstandards,easylistening,swing,loung"
8,The Gypsy - 78rpm Version,"theessentialdinahshor dinahshor adultstandards,torchsong,easylistening,vocaljazz"
9,"Oh, What It Seemed To Be","thecolumbiayears(1943-1952):thecompleterecordings:volume3 franksinatra adultstandards,lounge,easylisten"
10,Surrender,"perrycomosgreatesthit perrycomo adultstandards,easylisten"
11,"Doctor, Lawyer, Indian Chief",asquareinthesocialcircle(expandededition) bettyhutton vintagehollywood
12,"Let It Snow, Let It Snow, Let It Snow","presentingvaughnmonro vaughnmonro swing,vaudeville,deepadultstandards,britishdanceband"
13,To Each His Own,"presentingfreddymartin&hisorchestra freddymartin&hisorchestra bigband,""mansorchestra"""
14,Ole Buttermilk Sky,"thebestofkaykyserandhisorchestra kaykyser&hisorchestra ""mansorchestra"""
15,To Each His Own,"theantholog theinkspot vocalharmonygroup,loung"
16,Symphony,"presentingfreddymartin freddymartin bigband,""mansorchestra"""
17,The Old Lamplighter,"1944 sammykayeandhisorchestra ""mansorchestra"""
18,I Cant Begin To Tell You - Single Version,"bing-hislegendaryyears1931-1957 bingcrosby,carmencavallaro adultstandards,lounge,easylisten"
19,Youre A Big Girl Now,"thestylistics-theoriginaldebutalbum thestylist classicsoul,motown,quietstorm,disco,phillysoul,soul,funk"
20,"Jocelyn, Op. 100: Berceuse","jaschaheifetzminiatures,vol.1(1944-1946) benjamingodard,bingcrosby,jaschaheifetz,victoryoung classicsoundtrack,adultstandards,easylistening,lateromanticera,frenchromanticism,violin,loung"
21,The Gypsy,urbanknightsiii urbanknight smoothjazz
22,Doin What Comes Naturlly,"16mostrequestedsongsofthe1940s,volumeon dinahshor adultstandards,torchsong,easylistening,vocaljazz"
23,Laughing on the Outside,"16mostrequestedsongs:encore! dinahshor adultstandards,torchsong,easylistening,vocaljazz"
24,Five More Minutes,"seasonschang scottymccreeri contemporarycountry,moderncountryrock,country,countryroad"
25,Laughing On The Outside  - Remastered,"greatgentlemenofsong/spotlightonandyrussell(remaster) andyrussel bigband,""mansorchestra"""
26,Chattanooga Choo Choo,"ultimatebigbandcollection:glennmil glennmil bigband,adultstandards,easylistening,swing,jazztrombone,vocaljazz,lounge,dixieland"
27,They Say Its Wonderful - Remastered,"today&yesterday perrycomo adultstandards,easylisten"
28,To Each His Own,thebestofthemercuryyear tonymartin deepadultstandard
29,You Wont Be Satisfied Until You Break My Heart,"thebestcollection:lesbrown lesbrown swing,bigband,motiv"
30,Symphony,"16mostrequestedsongsofthe1940s,volumeon bennygoodman jazz,bigband,jazzclarinet,adultstandards,tinpanalley,vintagejazz,swing,vocaljazz,dixieland"
31,Oh What It Seemed To Be,"digginagroov charliespivak&hisorchestra ""mansorchestra"""
32,Doin What Comes Naturlly,"greatestclassics:andrekostelanetz,xaviercugat,freddymartin freddymartin bigband,""mansorchestra"""
33,The Old Lamp-Lighter,"thebestofkaykyserandhisorchestra kaykyser&hisorchestra ""mansorchestra"""
34,If I Loved You,"imagin dickhaym swing,deepadultstandards,britishdanceband"
35,Boogie Woogie Bugle Boy,"rariti theandrewssist vocalharmonygroup,swing,adultstandards,torchsong"
36,Dig You Later,"theverybestofperrycomo perrycomo adultstandards,easylisten"
37,Symphony,starringjostafford jostafford torchsong
38,To Each His Own,"now(expandededition) patricerushen jazzfunk,quietstorm,disco,post-disco,soul,funk"
39,Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,"bing:amusicalautobiographi bingcrosby,thejesters,bobhaggart&hisorchestra adultstandards,rhythmandblues,lounge,easylisten"
